SA_step,Energy,Energy_Error,Mu,Sigma
134,-0.421495,0.0401376,0.759243,0.702574
135,-0.421495,0.0401376,0.759243,0.702574
136,-0.421495,0.0401376,0.759243,0.702574
137,-0.421495,0.0401376,0.759243,0.702574
138,-0.42916,0.0409817,0.882134,0.614917
139,-0.42916,0.0409817,0.882134,0.614917
140,-0.335374,0.0323675,0.584312,0.593377
141,-0.335374,0.0323675,0.584312,0.593377
142,-0.335374,0.0323675,0.584312,0.593377
143,-0.335374,0.0323675,0.584312,0.593377
144,-0.335374,0.0323675,0.584312,0.593377
145,-0.334409,0.0319813,0.586329,0.662268
146,-0.334409,0.0319813,0.586329,0.662268
147,-0.321644,0.0306906,0.616449,0.630877
148,-0.361167,0.0351026,0.762679,0.794316
149,-0.361167,0.0351026,0.762679,0.794316
150,-0.361167,0.0351026,0.762679,0.794316
151,-0.0267225,0.0225338,0.707105,1.02595
152,-0.0267225,0.0225338,0.707105,1.02595
153,-0.304846,0.0294651,0.52045,0.831273
154,-0.338893,0.0324692,0.611364,0.629771
155,-0.338893,0.0324692,0.611364,0.629771
156,-0.338893,0.0324692,0.611364,0.629771
157,-0.332935,0.032071,0.824093,0.75354
158,-0.382625,0.0367649,0.880806,0.546823
159,-0.360909,0.0345081,0.916524,0.669875
160,-0.360909,0.0345081,0.916524,0.669875
161,-0.440341,0.041901,0.82315,0.613701
162,-0.440341,0.041901,0.82315,0.613701
163,-0.440341,0.041901,0.82315,0.613701
164,-0.379109,0.0362101,0.64935,0.576736
165,-0.388536,0.0371179,0.738927,0.536207
166,-0.388536,0.0371179,0.738927,0.536207
167,-0.388536,0.0371179,0.738927,0.536207
168,-0.388536,0.0371179,0.738927,0.536207
169,-0.388536,0.0371179,0.738927,0.536207
170,-0.426058,0.0406441,0.702119,0.617857
171,-0.426058,0.0406441,0.702119,0.617857
172,-0.426058,0.0406441,0.702119,0.617857
173,-0.431082,0.0410415,0.752505,0.596099
174,-0.431082,0.0410415,0.752505,0.596099
175,-0.435218,0.0415275,0.749844,0.641972
176,-0.419532,0.0399347,0.755451,0.569216
177,-0.419532,0.0399347,0.755451,0.569216
178,-0.419532,0.0399347,0.755451,0.569216
179,-0.419532,0.0399347,0.755451,0.569216
180,-0.419532,0.0399347,0.755451,0.569216
181,-0.419532,0.0399347,0.755451,0.569216
182,-0.453072,0.0430986,0.76833,0.623785
183,-0.453072,0.0430986,0.76833,0.623785
184,-0.453072,0.0430986,0.76833,0.623785
185,-0.453072,0.0430986,0.76833,0.623785
186,-0.453072,0.0430986,0.76833,0.623785
187,-0.453072,0.0430986,0.76833,0.623785
188,-0.434623,0.0414507,0.858233,0.609694
189,-0.434623,0.0414507,0.858233,0.609694
190,-0.434623,0.0414507,0.858233,0.609694
191,-0.434623,0.0414507,0.858233,0.609694
192,-0.400773,0.038789,0.795467,0.545529
193,-0.400773,0.038789,0.795467,0.545529
194,-0.400773,0.038789,0.795467,0.545529
195,-0.400773,0.038789,0.795467,0.545529
196,-0.403304,0.0385033,0.703559,0.644383
197,-0.403304,0.0385033,0.703559,0.644383
198,-0.403304,0.0385033,0.703559,0.644383
199,-0.403304,0.0385033,0.703559,0.644383
200,-0.365148,0.0354134,0.704807,0.768872
201,-0.454195,0.043514,0.793552,0.644654
202,-0.454195,0.043514,0.793552,0.644654
203,-0.454195,0.043514,0.793552,0.644654
204,-0.437531,0.0416686,0.781571,0.666524
205,-0.437531,0.0416686,0.781571,0.666524
206,-0.437934,0.0416085,0.790701,0.641436
207,-0.437934,0.0416085,0.790701,0.641436
208,-0.437934,0.0416085,0.790701,0.641436
209,-0.437934,0.0416085,0.790701,0.641436
210,-0.437934,0.0416085,0.790701,0.641436
211,-0.406442,0.0389272,0.816713,0.547458
212,-0.406442,0.0389272,0.816713,0.547458
213,-0.406442,0.0389272,0.816713,0.547458
214,-0.406442,0.0389272,0.816713,0.547458
215,-0.406442,0.0389272,0.816713,0.547458
216,-0.406442,0.0389272,0.816713,0.547458
217,-0.405521,0.0385895,0.832605,0.672116
218,-0.405521,0.0385895,0.832605,0.672116
219,-0.405521,0.0385895,0.832605,0.672116
220,-0.405521,0.0385895,0.832605,0.672116
221,-0.422494,0.0402463,0.801461,0.585814
222,-0.422494,0.0402463,0.801461,0.585814
223,-0.422494,0.0402463,0.801461,0.585814
224,-0.422494,0.0402463,0.801461,0.585814
225,-0.422494,0.0402463,0.801461,0.585814
226,-0.422494,0.0402463,0.801461,0.585814
227,-0.422494,0.0402463,0.801461,0.585814
228,-0.422494,0.0402463,0.801461,0.585814
229,-0.403832,0.0384272,0.873717,0.570465
230,-0.403832,0.0384272,0.873717,0.570465
231,-0.403832,0.0384272,0.873717,0.570465
232,-0.434925,0.0413175,0.84001,0.588935
233,-0.434925,0.0413175,0.84001,0.588935
234,-0.434925,0.0413175,0.84001,0.588935
235,-0.434925,0.0413175,0.84001,0.588935
236,-0.438487,0.0416652,0.850888,0.617671
237,-0.438487,0.0416652,0.850888,0.617671
238,-0.438487,0.0416652,0.850888,0.617671
239,-0.438487,0.0416652,0.850888,0.617671
240,-0.388734,0.0371914,0.928568,0.604416
241,-0.388734,0.0371914,0.928568,0.604416
242,-0.388734,0.0371914,0.928568,0.604416
243,-0.393918,0.0377141,0.90406,0.599344
244,-0.437689,0.0418491,0.816027,0.579194
