#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1         1.8         1.8           0
           2         1.8         1.8           0
           3         1.8         1.8           0
           4         1.8         1.8           0
           5         1.8         1.8  1.3328e-08
           6         1.8         1.8 1.21667e-08
           7         1.8         1.8   1.593e-08
           8         1.8         1.8 1.49012e-08
           9         1.8         1.8 1.40489e-08
          10         1.8         1.8  1.3328e-08
          11         1.8         1.8 1.55638e-08
          12         1.8         1.8 1.49012e-08
          13         1.8         1.8 1.43166e-08
          14         1.8         1.8 1.37958e-08
          15         1.8         1.8  1.3328e-08
          16         1.8         1.8 1.29048e-08
          17         1.8         1.8 1.25195e-08
          18         1.8         1.8 9.93411e-09
          19         1.8         1.8 6.83712e-09
          20         1.8         1.8   6.664e-09
          21         1.8         1.8  4.5986e-09
          22         1.8         1.8 4.49287e-09
          23         1.8         1.8 7.61083e-09
          24         1.8         1.8 8.60319e-09
          25         1.8         1.8 1.03238e-08
          26         1.8         1.8 1.09345e-08
          27         1.8         1.8 1.21667e-08
          28         1.8         1.8 1.25938e-08
          29         1.8         1.8 1.23747e-08
          30         1.8         1.8 1.21667e-08
          31         1.8         1.8 1.36466e-08
          32         1.8         1.8 1.34317e-08
          33         1.8         1.8 1.32266e-08
          34         1.8         1.8 1.35226e-08
          35         1.8         1.8 1.42482e-08
          36         1.8         1.8 1.40489e-08
          37         1.8         1.8 1.29628e-08
          38         1.8         1.8   1.324e-08
          39         1.8         1.8 1.21667e-08
          40         1.8         1.8  1.1051e-08
          41         1.8         1.8 1.09154e-08
          42         1.8         1.8  9.7551e-09
          43         1.8         1.8 1.01625e-08
          44         1.8         1.8 9.53081e-09
          45         1.8         1.8 9.42432e-09
          46         1.8         1.8 8.22063e-09
          47         1.8         1.8 8.13271e-09
          48         1.8         1.8 8.04755e-09
          49         1.8         1.8 6.73166e-09
          50         1.8         1.8 7.30005e-09
