#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.34394    -3.34394           0
           2    -3.34385    -3.34389 3.16453e-05
           3    -3.34403    -3.34394 4.24109e-05
           4     -3.3438     -3.3439  4.3237e-05
           5     -3.3439     -3.3439 3.46165e-05
           6    -3.34407    -3.34393 3.83096e-05
           7    -3.34375     -3.3439 4.03792e-05
           8    -3.34395    -3.34391 3.58107e-05
           9    -3.34395    -3.34392  3.2145e-05
          10    -3.34375     -3.3439 3.31297e-05
          11    -3.34406    -3.34391 3.31697e-05
          12    -3.34397    -3.34392 3.08008e-05
          13    -3.34376    -3.34391 3.08404e-05
          14    -3.34391    -3.34391 2.86383e-05
          15    -3.34383     -3.3439 2.71201e-05
          16    -3.34404    -3.34391 2.68423e-05
          17    -3.34393    -3.34391  2.5303e-05
          18    -3.34371     -3.3439  2.6144e-05
          19    -3.34398     -3.3439  2.5123e-05
          20    -3.34378     -3.3439 2.46469e-05
          21      -3.344     -3.3439 2.39738e-05
          22    -3.34402    -3.34391 2.34395e-05
          23    -3.34381     -3.3439 2.27931e-05
          24    -3.34398    -3.34391 2.20448e-05
          25    -3.34383     -3.3439 2.13841e-05
          26    -3.34396    -3.34391 2.06739e-05
          27    -3.34397    -3.34391 2.00465e-05
          28    -3.34382    -3.34391 1.95941e-05
          29    -3.34405    -3.34391 1.95682e-05
          30    -3.34366     -3.3439 2.05903e-05
          31    -3.34409    -3.34391 2.08152e-05
          32    -3.34373     -3.3439 2.08669e-05
          33    -3.34405    -3.34391 2.06954e-05
          34    -3.34389    -3.34391 2.00948e-05
          35    -3.34388    -3.34391  1.9532e-05
          36    -3.34394    -3.34391 1.90058e-05
          37    -3.34382     -3.3439 1.86271e-05
          38    -3.34391     -3.3439 1.81376e-05
          39    -3.34396    -3.34391 1.77315e-05
          40    -3.34379     -3.3439 1.75227e-05
