#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     2.00981     2.00981           0
           2     2.35359      2.1817    0.121543
           3     2.29654     2.21998   0.0868479
           4     2.37934     2.25982   0.0737095
           5     2.36267     2.28039   0.0617709
           6     1.99679     2.23312   0.0671678
           7     2.07443     2.21045   0.0612788
           8     2.42182     2.23687   0.0590407
           9     2.48881     2.26487   0.0587429
          10     2.60617       2.299   0.0619956
          11      2.2151     2.29137   0.0568269
          12     2.15906     2.28034   0.0531502
          13     2.24314     2.27748   0.0491387
          14     2.10888     2.26544   0.0470815
          15     2.22494     2.26274   0.0440201
          16      1.9831     2.24526   0.0446036
          17     2.17667     2.24123   0.0421619
          18     2.36344     2.24802   0.0403626
          19     2.15424     2.24308   0.0385388
          20     2.46993     2.25442   0.0382446
          21     2.42349     2.26247   0.0372612
          22     2.47089     2.27195   0.0367521
          23     2.57663     2.28519   0.0374655
          24     2.28803     2.28531   0.0359047
          25     2.00853     2.27424   0.0361351
          26     2.19956     2.27137   0.0348592
          27     2.28233     2.27178   0.0335705
          28      2.5834      2.2829   0.0341667
          29     2.18737     2.27961   0.0331469
          30     2.47591     2.28615   0.0326815
          31     2.45156     2.29149   0.0320599
          32     2.24929     2.29017   0.0310851
          33     2.12626      2.2852   0.0305374
          34     2.13361     2.28075   0.0299629
          35     2.33944     2.28242   0.0291537
          36     2.70803     2.29424   0.0306474
          37      2.0862     2.28862   0.0303305
          38     2.14498     2.28484   0.0297669
          39      1.9619     2.27656   0.0301334
          40     2.44048     2.28066   0.0296574
