1.06432 -nan
1.21445 1.21445
1.17708 1.19576
1.17432 1.18861
1.15114 1.17925
1.16975 1.17735
1.18785 1.1791
1.18504 1.17994
1.13999 1.17495
1.20534 1.17833
1.12996 1.17349
1.12121 1.16874
1.14817 1.16702
1.14257 1.16514
1.17011 1.1655
1.17485 -nan
1.17882 1.17882
1.1621 1.17046
1.12876 1.15656
1.19359 1.16582
1.15833 1.16432
1.18401 1.1676
1.18592 1.17022
1.14813 1.16746
1.1916 1.17014
1.17108 1.17023
1.14366 1.16782
1.16528 1.16761
1.1796 1.16853
1.15903 1.16785
1.12113 -nan
1.11495 1.11495
1.23104 1.17299
1.19708 1.18102
1.19917 1.18556
1.2234 1.19313
1.2176 1.1972
1.18872 1.19599
1.16796 1.19249
1.19226 1.19246
1.1688 1.1901
1.2095 1.19186
1.19373 1.19202
1.19851 1.19251
1.20964 1.19374
1.15497 1.19115
1.1976 1.19156
1.15085 1.18916
1.16293 1.1877
1.17392 1.18698
