#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1      -5.161      -5.161           0
           2    -5.10194    -5.13147   0.0208825
           3    -5.10272    -5.12189   0.0159697
           4    -5.08813    -5.11345   0.0140317
           5    -5.08622      -5.108   0.0122364
           6    -5.17738    -5.11956   0.0146769
           7    -5.19475    -5.13031   0.0160354
           8    -5.12377    -5.12949   0.0140518
           9    -5.08754    -5.12483    0.013241
          10    -5.06845    -5.11919   0.0130619
          11    -5.14925    -5.12192    0.012157
          12    -5.14523    -5.12386    0.011298
          13    -5.13165    -5.12446   0.0104447
          14    -5.17411    -5.12801    0.010283
          15    -5.15027    -5.12949  0.00970393
          16    -5.17265    -5.13219  0.00946486
          17    -5.13872    -5.13257   0.0089159
          18      -5.111    -5.13138  0.00850078
          19    -5.12412    -5.13099  0.00806193
          20    -5.09829    -5.12936  0.00782288
          21    -5.11297    -5.12858   0.0074892
          22    -5.11034    -5.12775  0.00719453
          23    -5.06613    -5.12507  0.00736363
          24    -5.14508     -5.1259  0.00710387
          25    -5.17162    -5.12773  0.00705111
          26    -5.13606    -5.12805  0.00678718
          27    -5.13748     -5.1284  0.00654477
          28     -5.0764    -5.12654  0.00656921
          29    -5.14817    -5.12729  0.00638488
          30    -5.09733    -5.12629  0.00624965
          31    -5.11655    -5.12598  0.00605594
          32    -5.14081    -5.12644   0.0058844
          33    -5.14708    -5.12707  0.00573923
          34    -5.14514     -5.1276  0.00559498
          35    -5.11802    -5.12732  0.00544181
          36    -5.06324    -5.12554   0.0055742
          37    -5.18748    -5.12722   0.0056693
          38    -5.17326    -5.12843  0.00564812
          39    -5.17861    -5.12972  0.00564796
          40    -5.11313     -5.1293  0.00552197
