# Temperature total_energy Error
0.5 -0.972303 0.00125502
0.6 -0.933643 0.0014309
0.7 -0.891651 0.00109935
0.8 -0.849549 0.000743571
0.9 -0.804625 0.000707686
1.0 -0.762161 0.000645939
1.1 -0.720969 0.000519491
1.2 -0.682602 0.000488108
1.3 -0.646634 0.000496386
1.4 -0.612942 0.000487634
1.5 -0.583249 0.000385644
1.6 -0.554595 0.000473157
1.7 -0.528499 0.00040826
1.8 -0.504533 0.000409611
1.9 -0.482898 0.000408094
2.0 -0.462347 0.000421856
