# Temperature susceptibility Error
0.5 3866.34 63.4348
0.6 2173.67 60.0414
0.7 1200.18 26.6414
0.8 776.681 10.5526
0.9 516.913 8.00065
1.0 372.912 4.71543
1.1 280.091 2.61205
1.2 219.25 1.7999
1.3 176.54 1.51623
1.4 146.815 1.18521
1.5 126.346 0.994371
1.6 108.941 0.76811
1.7 94.209 0.56813
1.8 84.194 0.597398
1.9 75.2559 0.555776
2.0 67.7579 0.419068
