# Temperature magnetization Error
0.5 0.922895 0.0102589
0.6 0.705871 0.0270237
0.7 0.468361 0.0256197
0.8 0.288415 0.0146249
0.9 0.197132 0.0114866
1.0 0.14524 0.007648
1.1 0.107888 0.00713896
1.2 0.088368 0.00593124
1.3 0.0746692 0.00429335
1.4 0.058746 0.00326352
1.5 0.0509748 0.00313223
1.6 0.0439768 0.00273545
1.7 0.039042 0.0026915
1.8 0.0336412 0.00256926
1.9 0.028838 0.0025358
2.0 0.0256208 0.00230394
