#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -6.34573    -6.34573           0
           2    -6.36062    -6.35318  0.00526271
           3    -6.33164      -6.346   0.0068308
           4    -6.32576    -6.34094  0.00674137
           5    -6.33842    -6.34044  0.00541182
           6    -6.36293    -6.34419  0.00566187
           7    -6.33697    -6.34316  0.00494589
           8    -6.36847    -6.34632  0.00524341
           9    -6.33074    -6.34459  0.00493821
          10    -6.35109    -6.34524  0.00448697
          11    -6.33619    -6.34442  0.00415373
          12    -6.34808    -6.34472  0.00381877
          13    -6.36366    -6.34618  0.00379262
          14    -6.33452    -6.34535  0.00361194
          15    -6.35583    -6.34605  0.00343812
          16    -6.38593    -6.34854  0.00402685
          17    -6.37163     -6.3499  0.00401256
          18    -6.37031    -6.35103  0.00394665
          19    -6.33828    -6.35036  0.00379559
          20    -6.37195    -6.35144  0.00375623
          21    -6.34503    -6.35113  0.00358973
          22    -6.33557    -6.35043   0.0034956
          23    -6.32146    -6.34917  0.00356332
          24    -6.33548     -6.3486  0.00346016
          25    -6.34317    -6.34838  0.00332856
          26    -6.37045    -6.34923  0.00330701
          27    -6.32714    -6.34841  0.00328415
          28    -6.32067    -6.34742  0.00331297
          29    -6.32293    -6.34657  0.00330463
          30    -6.33644    -6.34624  0.00321169
          31    -6.32604    -6.34559  0.00317351
          32    -6.35866    -6.34599  0.00310053
          33    -6.33592    -6.34569  0.00302158
          34    -6.36012    -6.34611  0.00296239
          35     -6.3281     -6.3456  0.00292213
          36    -6.36441    -6.34612  0.00288732
          37     -6.3447    -6.34608  0.00280954
          38    -6.35089    -6.34621  0.00273845
          39    -6.33028     -6.3458  0.00269851
          40    -6.32844    -6.34537  0.00266571
          41    -6.35341    -6.34556  0.00260789
          42    -6.32237    -6.34501  0.00260359
          43     -6.3416    -6.34493  0.00254425
          44    -6.34985    -6.34504  0.00248888
          45    -6.36636    -6.34552  0.00247826
          46    -6.35655    -6.34576  0.00243596
          47    -6.32087    -6.34523    0.002441
          48    -6.34336    -6.34519  0.00239046
          49    -6.33348    -6.34495  0.00235358
          50    -6.35339    -6.34512  0.00231256
