#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1         1.2         1.2           0
           2         1.2         1.2           0
           3         1.2         1.2 8.60319e-09
           4         1.2         1.2           0
           5         1.2         1.2           0
           6         1.2         1.2 6.08337e-09
           7         1.2         1.2 5.63211e-09
           8         1.2         1.2 5.26836e-09
           9         1.2         1.2 4.96705e-09
          10         1.2         1.2 4.71216e-09
          11         1.2         1.2 4.49287e-09
          12         1.2         1.2 4.30159e-09
          13         1.2         1.2           0
          14         1.2         1.2           0
          15         1.2         1.2 3.84746e-09
          16         1.2         1.2 3.72529e-09
          17         1.2         1.2 3.61406e-09
          18         1.2         1.2 4.96705e-09
          19         1.2         1.2 4.83458e-09
          20         1.2         1.2 4.71216e-09
          21         1.2         1.2  4.5986e-09
          22         1.2         1.2 4.49287e-09
          23         1.2         1.2 5.38167e-09
          24         1.2         1.2 4.30159e-09
          25         1.2         1.2 4.21468e-09
          26         1.2         1.2 2.92236e-09
          27         1.2         1.2 4.96705e-09
          28         1.2         1.2           0
          29         1.2         1.2 4.79272e-09
          30         1.2         1.2 4.71216e-09
          31         1.2         1.2 6.55564e-09
          32         1.2         1.2 6.45239e-09
          33         1.2         1.2 6.35388e-09
          34         1.2         1.2 7.66658e-09
          35         1.2         1.2 7.55627e-09
          36         1.2         1.2 8.60319e-09
          37         1.2         1.2 8.48613e-09
          38         1.2         1.2 8.37373e-09
          39         1.2         1.2 9.24131e-09
          40         1.2         1.2 9.12506e-09
          41         1.2         1.2 9.01309e-09
          42         1.2         1.2 8.90515e-09
          43         1.2         1.2   9.641e-09
          44         1.2         1.2 9.53081e-09
          45         1.2         1.2 9.42432e-09
          46         1.2         1.2 9.32132e-09
          47         1.2         1.2 9.22162e-09
          48         1.2         1.2 9.61866e-09
          49         1.2         1.2    9.52e-09
          50         1.2         1.2 9.65706e-09
