#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -7.54573    -7.54573           0
           2    -7.56062    -7.55318  0.00526271
           3    -7.53164      -7.546   0.0068308
           4    -7.52576    -7.54094  0.00674137
           5    -7.53842    -7.54044  0.00541182
           6    -7.56293    -7.54419  0.00566187
           7    -7.53697    -7.54316  0.00494589
           8    -7.56847    -7.54632  0.00524341
           9    -7.53074    -7.54459  0.00493821
          10    -7.55109    -7.54524  0.00448697
          11    -7.53619    -7.54442  0.00415373
          12    -7.54808    -7.54472  0.00381877
          13    -7.56366    -7.54618  0.00379262
          14    -7.53452    -7.54535  0.00361194
          15    -7.55583    -7.54605  0.00343812
          16    -7.58593    -7.54854  0.00402685
          17    -7.57163     -7.5499  0.00401256
          18    -7.57031    -7.55103  0.00394665
          19    -7.53828    -7.55036  0.00379559
          20    -7.57195    -7.55144  0.00375623
          21    -7.54503    -7.55113  0.00358973
          22    -7.53557    -7.55043   0.0034956
          23    -7.52146    -7.54917  0.00356332
          24    -7.53548     -7.5486  0.00346016
          25    -7.54317    -7.54838  0.00332856
          26    -7.57045    -7.54923  0.00330701
          27    -7.52714    -7.54841  0.00328415
          28    -7.52067    -7.54742  0.00331297
          29    -7.52293    -7.54657  0.00330463
          30    -7.53644    -7.54624  0.00321169
          31    -7.52604    -7.54559  0.00317351
          32    -7.55866    -7.54599  0.00310053
          33    -7.53592    -7.54569  0.00302158
          34    -7.56012    -7.54611  0.00296239
          35     -7.5281     -7.5456  0.00292213
          36    -7.56441    -7.54612  0.00288732
          37     -7.5447    -7.54608  0.00280954
          38    -7.55089    -7.54621  0.00273845
          39    -7.53028     -7.5458  0.00269851
          40    -7.52844    -7.54537  0.00266571
          41    -7.55341    -7.54556  0.00260789
          42    -7.52237    -7.54501  0.00260359
          43     -7.5416    -7.54493  0.00254425
          44    -7.54985    -7.54504  0.00248888
          45    -7.56636    -7.54552  0.00247826
          46    -7.55655    -7.54576  0.00243596
          47    -7.52087    -7.54523    0.002441
          48    -7.54336    -7.54519  0.00239046
          49    -7.53348    -7.54495  0.00235358
          50    -7.55339    -7.54512  0.00231256
