#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.10026     1.10026           0
           2     1.10483     1.10255   0.0016156
           3     1.09579      1.1003   0.0021315
           4     1.08206     1.09574  0.00425995
           5     1.09434     1.09546  0.00341706
           6     1.10628     1.09726  0.00328958
           7     1.11326     1.09955  0.00352504
           8     1.10399      1.1001   0.0031278
           9     1.08946     1.09892  0.00299547
          10     1.09793     1.09882  0.00269757
          11     1.11276     1.10009  0.00273377
          12     1.14392     1.10374  0.00430215
          13     1.09998     1.10345  0.00398091
          14     1.10822     1.10379  0.00371112
          15      1.1064     1.10397   0.0034678
          16     1.11869     1.10489  0.00337095
          17     1.09679     1.10441  0.00320613
          18     1.09281     1.10376  0.00309206
          19     1.09205     1.10315   0.0029902
          20      1.0949     1.10274  0.00286899
          21      1.0986     1.10254  0.00273913
          22     1.10671     1.10273  0.00262117
          23     1.05887     1.10082  0.00312477
          24     1.11216     1.10129  0.00303005
          25     1.11062     1.10167   0.0029317
          26     1.09571     1.10144  0.00282789
          27     1.09631     1.10125  0.00272953
          28      1.0958     1.10105  0.00263896
          29     1.10939     1.10134  0.00256357
          30     1.10416     1.10143  0.00247985
          31      1.1323     1.10243  0.00259199
          32     1.09134     1.10208  0.00253404
          33     1.08204     1.10148  0.00252898
          34     1.07328     1.10065  0.00258697
          35     1.09196      1.1004  0.00252493
          36     1.08854     1.10007  0.00247617
          37     1.11587      1.1005  0.00244578
          38     1.10156     1.10052  0.00238157
          39     1.09602     1.10041  0.00232331
          40     1.06666     1.09957  0.00241356
