#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.01403    -5.01403           0
           2    -5.02308    -5.01855  0.00320054
           3    -5.00965    -5.01559  0.00322753
           4    -4.99115    -5.00948  0.00581723
           5      -5.009    -5.00938  0.00465458
           6     -5.0264    -5.01222  0.00466336
           7    -5.03669    -5.01571  0.00514331
           8    -5.02207    -5.01651  0.00456131
           9    -4.99935     -5.0146  0.00443515
          10    -5.00933    -5.01407  0.00402279
          11    -5.03586    -5.01606   0.0041157
          12    -5.08327    -5.02166  0.00655678
          13    -5.01762    -5.02135  0.00605975
          14    -5.02732    -5.02177  0.00564193
          15     -5.0272    -5.02213  0.00527737
          16    -5.04188    -5.02337  0.00508975
          17    -5.00781    -5.02245  0.00487197
          18    -5.00324    -5.02139  0.00471681
          19    -5.00319    -5.02043  0.00456468
          20    -5.00949    -5.01988  0.00436907
          21    -5.01468    -5.01963  0.00416803
          22    -5.02408    -5.01984  0.00398347
          23    -4.95003     -5.0168  0.00482997
          24    -5.03473    -5.01755  0.00468613
          25    -5.03257    -5.01815  0.00453706
          26    -5.00977    -5.01783  0.00437398
          27    -5.00637     -5.0174  0.00423252
          28    -5.00995    -5.01714  0.00408971
          29    -5.02801    -5.01751  0.00396585
          30    -5.02257    -5.01768  0.00383724
          31    -5.06662    -5.01926  0.00402508
          32     -5.0046     -5.0188  0.00392529
          33    -4.98877    -5.01789  0.00391041
          34    -4.97567    -5.01665  0.00398766
          35    -5.00337    -5.01627  0.00389174
          36    -4.99817    -5.01577  0.00381599
          37    -5.04025    -5.01643  0.00376978
          38    -5.01798    -5.01647  0.00367079
          39    -5.01201    -5.01635  0.00357845
          40    -4.96608     -5.0151  0.00370315
