#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.36363    -3.36363           0
           2    -3.36583    -3.36473 0.000777145
           3    -3.36597    -3.36514 0.000618272
           4    -3.36807    -3.36587 0.000784875
           5    -3.36748     -3.3662 0.000690747
           6    -3.36697    -3.36633 0.000587629
           7    -3.36681    -3.36639 0.000507655
           8    -3.36609    -3.36636 0.000445635
           9    -3.36516    -3.36622 0.000415475
          10    -3.36245    -3.36585 0.000517901
          11    -3.36672    -3.36592 0.000476894
          12    -3.36739    -3.36605 0.000452591
          13    -3.36765    -3.36617 0.000434213
          14    -3.36499    -3.36609  0.00041127
          15    -3.36759    -3.36619 0.000395864
          16    -3.36384    -3.36604 0.000397279
          17    -3.36262    -3.36584 0.000421671
          18    -3.36402    -3.36574 0.000410199
          19    -3.36513    -3.36571 0.000389871
          20    -3.36714    -3.36578  0.00037695
          21    -3.36678    -3.36583 0.000362028
          22    -3.36402    -3.36574  0.00035476
          23    -3.36173    -3.36557 0.000379887
          24     -3.3665    -3.36561 0.000366015
          25    -3.36665    -3.36565 0.000353733
          26    -3.36621    -3.36567 0.000340788
          27    -3.36191    -3.36553 0.000355529
          28    -3.36625    -3.36556 0.000343745
          29    -3.36393     -3.3655 0.000336452
          30    -3.36632    -3.36553 0.000326356
          31    -3.36817    -3.36561 0.000326781
          32    -3.36758    -3.36568 0.000322308
          33    -3.36571    -3.36568 0.000312543
          34    -3.36575    -3.36568 0.000303358
          35    -3.36543    -3.36567 0.000294776
          36    -3.36535    -3.36566 0.000286724
          37    -3.36645    -3.36568 0.000279762
          38    -3.36565    -3.36568 0.000272401
          39    -3.36798    -3.36574  0.00027174
          40    -3.36609    -3.36575 0.000265084
