#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.815046    0.815046           0
           2    0.806557    0.810802  0.00300108
           3    0.819452    0.813685   0.0030897
           4    0.813845    0.813725  0.00231753
           5    0.807808    0.812542   0.0021349
           6    0.819758    0.813744  0.00209058
           7    0.802108    0.812082  0.00236208
           8    0.814893    0.812433  0.00209278
           9     0.81283    0.812478  0.00186071
          10    0.811016    0.812331  0.00168038
          11    0.813005    0.812393  0.00152873
          12    0.815664    0.812665  0.00142543
          13     0.81029    0.812482  0.00132744
          14    0.818031    0.812879  0.00129044
          15     0.81122    0.812768  0.00120914
          16    0.809671    0.812575  0.00114896
          17     0.81357    0.812633  0.00108286
          18    0.818176    0.812941  0.00106559
          19    0.816486    0.813128  0.00102571
          20    0.815665    0.813255 0.000982237
          21     0.81434    0.813306 0.000936824
          22     0.81292    0.813289 0.000894406
          23    0.818764    0.813527 0.000886632
          24    0.811121    0.813426 0.000855338
          25    0.820746    0.813719 0.000869795
          26    0.812047    0.813655 0.000838715
          27    0.814378    0.813682 0.000808079
          28    0.815032     0.81373 0.000780657
          29    0.817375    0.813856  0.00076379
          30    0.808496    0.813677 0.000758939
          31    0.809648    0.813547 0.000745502
          32    0.814345    0.813572 0.000722622
          33    0.807784    0.813397 0.000721695
          34    0.816811    0.813497  0.00070742
          35    0.806848    0.813307 0.000712263
          36    0.809495    0.813201 0.000700306
          37    0.811097    0.813144 0.000683684
          38    0.816215    0.813225  0.00067045
          39    0.806933    0.813064 0.000672392
          40    0.813352    0.813071 0.000655621
