#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     9.68481     9.68481           0
           2     9.75754     9.72117   0.0257149
           3     9.65442     9.69892   0.0249788
           4     9.69609     9.69821   0.0187441
           5     9.74287     9.70715   0.0169906
           6     9.64027       9.696   0.0174353
           7     9.80707     9.71187   0.0209551
           8     9.69002     9.70914   0.0185128
           9     9.70624     9.70882   0.0164586
          10       9.726     9.71053   0.0149021
          11     9.71883     9.71129   0.0135664
          12       9.688     9.70935   0.0125739
          13     9.72659     9.71067   0.0116765
          14     9.66389     9.70733   0.0113105
          15     9.73304     9.70905   0.0106855
          16     9.76461     9.71252    0.010567
          17     9.71521     9.71268  0.00994661
          18     9.67011     9.71031  0.00967107
          19     9.69283     9.70939  0.00920572
          20     9.70404     9.70912  0.00874932
          21     9.73165      9.7102  0.00839817
          22     9.73629     9.71138  0.00809974
          23     9.68807     9.71037  0.00781073
          24     9.73027      9.7112  0.00752917
          25     9.66619      9.7094  0.00744013
          26     9.70818     9.70935  0.00715412
          27     9.69702     9.70889  0.00690373
          28     9.71306     9.70904  0.00665877
          29     9.69194     9.70845  0.00645521
          30     9.75823     9.71011  0.00644972
          31     9.73432     9.71089  0.00628877
          32     9.68909     9.71021  0.00612904
          33      9.7807     9.71235  0.00630457
          34     9.70109     9.71202  0.00612783
          35     9.74914     9.71308  0.00604385
          36     9.73269     9.71362  0.00590046
          37     9.72139     9.71383  0.00574472
          38     9.67507     9.71281  0.00568341
          39     9.75881     9.71399  0.00565874
          40     9.71362     9.71398  0.00551728
