#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1        1.65        1.65           0
           2        1.65        1.65           0
           3        1.65        1.65           0
           4        1.65        1.65           0
           5        1.65        1.65 9.42432e-09
           6        1.65        1.65           0
           7        1.65        1.65 7.96501e-09
           8        1.65        1.65           0
           9        1.65        1.65           0
          10        1.65        1.65 9.42432e-09
          11        1.65        1.65 6.35388e-09
          12        1.65        1.65 6.08337e-09
          13        1.65        1.65 8.26568e-09
          14        1.65        1.65 7.96501e-09
          15        1.65        1.65 7.69493e-09
          16        1.65        1.65 7.45058e-09
          17        1.65        1.65 7.22812e-09
          18        1.65        1.65 7.02447e-09
          19        1.65        1.65 6.83712e-09
          20        1.65        1.65  8.1617e-09
          21        1.65        1.65 7.96501e-09
          22        1.65        1.65 1.10052e-08
          23        1.65        1.65 1.07633e-08
          24        1.65        1.65 1.21667e-08
          25        1.65        1.65  1.1151e-08
          26        1.65        1.65 1.16894e-08
          27        1.65        1.65 1.07301e-08
          28        1.65        1.65 1.19475e-08
          29        1.65        1.65 1.10683e-08
          30        1.65        1.65 1.08823e-08
          31        1.65        1.65 1.13547e-08
          32        1.65        1.65 1.11759e-08
          33        1.65        1.65 1.10052e-08
          34        1.65        1.65 1.08422e-08
          35        1.65        1.65 1.06862e-08
          36        1.65        1.65 1.05367e-08
          37        1.65        1.65 1.03933e-08
          38        1.65        1.65 9.66915e-09
          39        1.65        1.65 1.06709e-08
          40        1.65        1.65 9.42432e-09
          41        1.65        1.65 8.70747e-09
          42        1.65        1.65 7.96501e-09
          43        1.65        1.65 6.42733e-09
          44        1.65        1.65 6.35388e-09
          45        1.65        1.65 4.44267e-09
          46        1.65        1.65 4.39411e-09
          47        1.65        1.65           0
          48        1.65        1.65 3.04169e-09
          49        1.65        1.65 3.01049e-09
          50        1.65        1.65           0
