#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.97795     1.97795           0
           2     1.77962     1.87878   0.0701203
           3     1.95951     1.90569   0.0516524
           4     2.00646     1.93088   0.0444606
           5     1.75671     1.89605   0.0472856
           6     1.83495     1.88586   0.0404863
           7     1.79474     1.87285    0.036736
           8     2.00749     1.88968   0.0357921
           9     1.95272     1.89668   0.0324934
          10     1.82273     1.88929   0.0300739
          11     1.99598     1.89899   0.0288618
          12     1.84453     1.89445    0.026811
          13     1.98288     1.90125   0.0255971
          14     2.05259     1.91206   0.0259511
          15     1.79996     1.90459   0.0252742
          16     1.75824     1.89544   0.0252956
          17     1.66097     1.88165   0.0273101
          18     2.04485     1.89071   0.0272564
          19     2.00487     1.89672   0.0264758
          20     2.13349     1.90856   0.0276725
          21     1.90698     1.90849   0.0263549
          22     1.80576     1.90382   0.0255672
          23       1.921     1.90456   0.0244665
          24     2.14486     1.91458   0.0254133
          25     2.01102     1.91843   0.0246879
          26     1.95015     1.91965   0.0237684
          27     1.96247     1.92124    0.022941
          28     1.78318     1.91631   0.0226453
          29     2.00422     1.91934   0.0220664
          30     1.80048     1.91538   0.0216837
          31     2.03521     1.91924   0.0213259
          32     2.00193     1.92183   0.0208155
          33     1.96398     1.92311   0.0202238
          34     1.85191     1.92101   0.0197371
          35     1.99204     1.92304   0.0192772
          36     1.88204      1.9219   0.0187754
          37     1.98779     1.92368   0.0183522
          38      2.0103     1.92596   0.0180102
          39     1.85217     1.92407   0.0176475
          40     1.80836     1.92118   0.0174418
